imageName,id
001_F_L_30.JPG,1
001_F_L_31.JPG,1
001_F_L_32.JPG,1
001_F_L_33.JPG,1
001_F_L_34.JPG,1
001_F_L_35.JPG,1
001_F_L_36.JPG,1
001_F_L_37.JPG,1
001_F_L_38.JPG,1
001_F_L_39.JPG,1
001_F_R_0.JPG,1
001_F_R_1.JPG,1
001_F_R_2.JPG,1
001_F_R_3.JPG,1
001_F_R_4.JPG,1
001_F_R_5.JPG,1
001_F_R_6.JPG,1
001_F_R_7.JPG,1
001_F_R_8.JPG,1
001_F_R_9.JPG,1
001_S_L_20.JPG,1
001_S_L_21.JPG,1
001_S_L_22.JPG,1
001_S_L_23.JPG,1
001_S_L_24.JPG,1
001_S_L_25.JPG,1
001_S_L_26.JPG,1
001_S_L_27.JPG,1
001_S_L_28.JPG,1
001_S_L_29.JPG,1
001_S_R_10.JPG,1
001_S_R_11.JPG,1
001_S_R_12.JPG,1
001_S_R_13.JPG,1
001_S_R_14.JPG,1
001_S_R_15.JPG,1
001_S_R_16.JPG,1
001_S_R_17.JPG,1
001_S_R_18.JPG,1
001_S_R_19.JPG,1
002_F_L_30.JPG,2
002_F_L_31.JPG,2
002_F_L_32.JPG,2
002_F_L_33.JPG,2
002_F_L_34.JPG,2
002_F_L_35.JPG,2
002_F_L_36.JPG,2
002_F_L_37.JPG,2
002_F_L_38.JPG,2
002_F_L_39.JPG,2
002_F_R_0.JPG,2
002_F_R_1.JPG,2
002_F_R_2.JPG,2
002_F_R_3.JPG,2
002_F_R_4.JPG,2
002_F_R_5.JPG,2
002_F_R_6.JPG,2
002_F_R_7.JPG,2
002_F_R_8.JPG,2
002_F_R_9.JPG,2
002_S_L_20.JPG,2
002_S_L_21.JPG,2
002_S_L_22.JPG,2
002_S_L_23.JPG,2
002_S_L_24.JPG,2
002_S_L_25.JPG,2
002_S_L_26.JPG,2
002_S_L_27.JPG,2
002_S_L_28.JPG,2
002_S_L_29.JPG,2
002_S_R_10.JPG,2
002_S_R_11.JPG,2
002_S_R_12.JPG,2
002_S_R_13.JPG,2
002_S_R_14.JPG,2
002_S_R_15.JPG,2
002_S_R_16.JPG,2
002_S_R_17.JPG,2
002_S_R_18.JPG,2
002_S_R_19.JPG,2
003_F_L_30.JPG,3
